"lg" "pos1" "pos2" "gene.count"
1 10725000 10799999 5
1 10800000 10874999 7
1 10875000 10949999 2
1 10950000 11024999 6
1 11025000 11099999 5
1 11100000 11174999 3
1 11175000 11249999 2
1 11325000 11399999 2
1 11400000 11474999 6
1 11550000 11624999 5
1 11625000 11699999 2
1 11700000 11774999 3
1 11850000 11924999 2
1 11925000 11999999 6
1 1.2e+07 12074999 3
1 12075000 12149999 6
1 12150000 12224999 3
1 12225000 12299999 3
1 12300000 12374999 9
1 12375000 12449999 9
1 12450000 12524999 5
1 12525000 12599999 2
1 12675000 12749999 1
1 12825000 12899999 1
1 13125000 13199999 11
1 13200000 13274999 5
1 13275000 13349999 1
1 13350000 13424999 6
1 13425000 13499999 1
1 13575000 13649999 2
1 13650000 13724999 3
1 13725000 13799999 3
1 13800000 13874999 2
1 13875000 13949999 6
1 13950000 14024999 4
1 14100000 14174999 1
1 14175000 14249999 4
1 14250000 14324999 3
1 14325000 14399999 3
1 14400000 14474999 7
1 14475000 14549999 1
1 14550000 14624999 1
1 14625000 14699999 1
1 14700000 14774999 3
1 14775000 14849999 5
1 14850000 14924999 1
1 1.5e+07 15074999 2
1 15075000 15149999 1
1 15150000 15224999 1
1 15300000 15374999 2
1 15375000 15449999 3
1 15450000 15524999 2
1 15600000 15674999 3
1 15675000 15749999 4
1 15750000 15824999 3
1 15825000 15899999 4
1 15900000 15974999 4
1 15975000 16049999 2
1 16050000 16124999 7
1 16125000 16199999 4
1 16200000 16274999 2
1 16275000 16349999 1
1 16350000 16424999 4
1 16425000 16499999 4
1 16500000 16574999 13
1 16575000 16649999 6
1 16650000 16724999 2
1 16725000 16799999 7
1 16800000 16874999 7
1 16875000 16949999 8
1 16950000 17024999 3
1 17025000 17099999 10
1 17100000 17174999 7
1 17175000 17249999 3
1 17250000 17324999 2
1 17325000 17399999 9
1 17400000 17474999 13
1 17475000 17549999 3
1 17700000 17774999 1
1 17925000 17999999 1
1 1.8e+07 18074999 5
1 18075000 18149999 2
1 18150000 18224999 4
1 18225000 18299999 1
1 18300000 18374999 3
1 18375000 18449999 4
1 18450000 18524999 3
1 18525000 18599999 1
1 18600000 18674999 2
1 18825000 18899999 1
1 18975000 19049999 1
1 19050000 19124999 1
1 19125000 19199999 1
1 19275000 19349999 1
1 19425000 19499999 1
1 19500000 19574999 3
1 19575000 19649999 4
