"lg" "pos1" "pos2" "ds"
 1 2330169 2365007 0.777958333333333
 1 2636733 2646924 0.879458
 1 2717130 2718198 1.02168
 1 2735505 2755528 0.869408
 1 2782049 2790640 0.835646
 1 2798666 2813268 0.916779166666667
 1 2824077 2830150 0.7975155
 1 2898939 2945757 0.664129
 1 2988172 2992797 0.861818666666667
 1 2995003 2999589 0.8665115
 1 3032666 3033857 1.243725
 1 3039163 3045850 0.677407
 1 3047218 3052489 0.917016833333333
 1 3080902 3085572 0.8893835
 1 3086853 3088913 0.853930333333333
 1 3091076 3108409 0.7704685
 1 3124210 3127693 0.937579333333333
 1 3129406 3136785 0.857376
 1 3145697 3149203 1.14475366666667
 1 3154035 3156749 1.04079633333333
 1 3163025 3169107 1.837613
 1 3175899 3178064 0.875443
 1 3273500 3300395 0.664287
 1 3303968 3318945 0.695455
 1 3325760 3330237 0.962528333333333
 1 3332783 3338589 0.949367666666667
 1 3347259 3347414 1.44215366666667
 1 3390561 3407147 0.912848666666667
 1 3414389 3416002 0.988123
 1 3421423 3436453 0.578718
 1 3486252 3490154 0.516588
 1 3537920 3541210 0.968691833333333
 1 3727950 3776112 0.8203285
 1 3837246 3845416 0.952988666666667
 1 3848030 3851119 1.09502166666667
 1 3935093 3946002 0.688026666666667
 1 3984198 4032562 0.874065833333333
 1 4043118 4044679 0.801475
 1 4046937 4048548 2.55229675
 1 4056681 4058563 0.726734333333333
 1 4062043 4063888 1.06855933333333
 1 4066933 4068501 1.47400033333333
 1 4093568 4112992 0.795757333333333
 1 4114283 4117189 1.79472066666667
 1 4122097 4123446 0.890736666666667
 1 4128096 4137512 0.577637777777778
 1 4165526 4175090 0.626687666666667
 1 4178468 4194469 0.841462
 1 4220184 4222102 0.742935
 1 4226568 4230446 1.574692
 1 4236565 4248993 0.835056
 1 4322322 4397568 0.731237
 1 4425525 4435391 0.755813666666667
 1 4470998 4481907 0.735983
 1 4482490 4485218 0.885874833333333
 1 4485819 4491775 0.698271333333333
 1 4494513 4498339 0.872056333333333
 1 4499549 4509058 0.721897666666667
 1 4511274 4515926 0.950255333333333
 1 4543685 4582641 0.738414666666667
 1 4607682 4609548 0.74868
 1 4617503 4623965 0.794609
 1 4716822 4758126 0.86377
 1 4743905 4749468 1.02975575
 1 4766643 4768983 0.775951
 1 4772115 4783409 1.30087033333333
 1 4807095 4815196 0.517916
 1 4818207 4825298 0.978955
 1 5065629 5116913 0.884401
 1 5136823 5139540 0.659865666666667
 1 5186778 5192211 1.00046466666667
 1 5335913 5344736 0.918643666666667
 1 5357524 5359129 0.800450333333333
 1 5408524 5408916 0.94974
 1 5465852 5488747 0.846488666666667
 1 5496803 5535584 0.740468333333333
 1 5512892 5515273 0.977419
 1 5537599 5542661 0.814126666666667
 1 5543009 5544661 0.981739333333333
 1 5544654 5547177 0.995821
 1 5548344 5562595 0.492095333333333
 1 5562826 5565056 1.099221
 1 5570060 5575752 0.723922
 1 5577318 5597550 0.805954333333333
 1 5674998 5692007 0.808763666666667
 1 5759769 5763212 0.870681333333333
 1 5766408 5786885 0.617427666666667
 1 5794328 5802345 0.726989666666667
 1 5805079 5806185 0.660500333333333
 1 5807949 5810402 1.09905
 1 5836452 5839025 1.13949433333333
 1 5854274 5864978 0.876879666666667
 1 5866321 5868151 0.858625
 1 5871321 5902430 0.708762333333333
 1 5911897 5915684 0.535527333333333
 1 5920985 5928413 0.826912
 1 5937570 5939340 0.735513
 1 5966412 5977419 0.912504666666667
 1 5980980 5983171 0.8734655
 1 5985827 5996095 0.68187
 1 6123882 6150613 0.773688666666667
 1 6159836 6170264 0.656684666666667
 1 6172911 6197405 0.548304666666667
 1 6206113 6208424 0.654841
 1 6212467 6229609 0.766846
 1 6232964 6234580 1.05167416666667
 1 6236909 6237643 0.964084666666667
 1 6238914 6241202 0.862246333333333
 1 6242282 6244025 0.619787666666667
 1 6245953 6248843 0.513180333333333
 1 6250813 6252158 0.621452333333333
 1 6266514 6270948 0.989964
 1 6272282 6281123 0.761687666666667
 1 6283524 6297921 0.722219333333333
 1 6300577 6304779 0.807778333333333
 1 6315506 6357731 0.749847
 1 6368016 6374543 1.09319333333333
 1 6375143 6379717 0.900799
 1 6399461 6404685 0.931514333333333
 1 6458406 6536357 0.605744
 1 6554830 6569989 0.768835
 1 6642138 6717755 0.782394666666667
 1 6725039 6727697 1.234015
 1 6729472 6735234 0.5819975
 1 6748014 6770807 0.648357333333333
 1 6774853 6788674 1.11401733333333
 1 6789295 6797202 0.723503333333333
 1 6802071 6805344 0.827287
 1 6817428 6823743 0.357633333333333
 1 6839106 6841996 1.3401455
 1 6847350 6887280 0.965785
 1 6892498 6912972 0.560985
 1 6930934 6971403 0.751857333333333
 1 6983471 6991945 0.8023905
 1 6992838 6997265 0.809991083333333
 1 7025597 7037380 1.00453266666667
 1 7044038 7049685 0.710119
 1 7056587 7057788 1.27276883333333
 1 7058416 7060534 0.841831333333333
 1 7067099 7068103 1.44697833333333
 1 7086897 7087907 1.026663
 1 7212546 7247667 0.860855333333333
 1 7408054 7428093 0.830108333333333
 1 7429585 7430761 0.836975
 1 7433814 7449826 0.947321333333333
 1 7480872 7489908 0.8205015
 1 7509074 7523648 0.964878666666667
 1 7524210 7529201 0.902036666666667
 1 7530051 7532857 0.865183
 1 7534359 7547904 0.814963833333333
 1 7548475 7555673 1.24891
 1 7557008 7561871 1.01769066666667
 1 7562563 7566990 0.916931
 1 7568494 7571957 0.773197
 1 7573483 7576174 0.832670333333333
 1 7590810 7595653 0.849343666666667
 1 7596867 7608799 0.819161
 1 7609666 7612260 0.775038111111111
 1 7614233 7615946 0.412477666666667
 1 7617542 7631515 0.984701333333333
 1 7633993 7648015 0.736686
 1 7652097 7662516 0.5859875
 1 7666331 7669626 1.043095
 1 7711424 7718976 0.972662666666667
 1 7742778 7772976 0.653222333333333
 1 7779850 7794030 0.768667
 1 7795716 7798893 0.872867
 1 7799466 7801516 0.746214
 1 7804379 7814771 0.836083
 1 7819170 7825689 0.945725166666667
 1 7851131 7883099 0.777891
 1 7884939 7889802 0.8141645
 1 7944004 7949594 0.801621
 1 7950910 7953127 1.10044833333333
 1 7955113 7960310 0.901276333333333
 1 7960644 7963349 0.636955
 1 7963629 7966954 0.8843945
 1 7970667 7978934 0.806625666666667
 1 7984427 7992236 0.847582
 1 7994935 8024790 0.742883
 1 8030647 8032675 1.09338166666667
 1 8040906 8042255 1.73671033333333
 1 8050570 8076662 1.138629
 1 8081930 8106122 0.706725
 1 8117262 8202337 0.710913
 1 8360502 8362370 1.05737866666667
 1 8365243 8376303 0.817207
 1 8387386 8393676 0.754992
 1 8397728 8403362 0.517202
 1 8407809 8413900 1.28375383333333
 1 8464004 8471992 0.8189175
 1 8509579 8522810 0.654612888888889
 1 8533757 8538878 0.900830666666667
