pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
constance lake joes lake sl bc allo allo_S 0.00175322016999464 -1.92602361106463e-05 5.72170285165731e-05 -2.34731670245918e-05
constance lake joes stream sl bc allo allo_D 0.00187329824192952 -2.30033798152828e-05 1.16394426544925e-06 -2.90525921961102e-05
constance lake ln marine sl ns allo allo_D 0.00516379859697111 -1.10061617594909e-04 1.22762180115875e-04 1.24334810129298e-04
constance lake mh marine sl ns allo allo_D 0.00497129044376142 -7.82784436858341e-06 0.00101642664032724 2.49608243926087e-04
constance lake mh white sl ns allo allo_D 2.17291930539044e-04 -2.12879561177478e-04 0.0081993068483956 3.41361207176759e-05
constance lake misty lake sl bc allo allo_S 0.00178650058338672 1.20506936668912e-05 2.7536749908013e-04 -2.68092743824888e-05
constance lake misty stream sl bc allo allo_D 0.00179224821775803 1.021946932696e-05 2.99444293051362e-04 -2.51399315386326e-05
constance lake roberts lake sl bc allo allo_S 0.00210170307461393 4.94290428917018e-07 2.01915789014023e-04 -3.18351617501382e-05
constance lake roberts stream sl bc allo allo_D 0.0020968184709548 -3.91488923647129e-06 1.06299975108831e-04 -3.86569328019014e-05
constance lake sk marine sl ns allo allo_D 0.00534961422276884 -1.26940336640726e-04 3.14687692467475e-04 1.37634657088893e-04
constance lake sr marine sl ns allo allo_D 0.0059266606498548 -1.36991746546949e-04 1.29792194319275e-04 2.4113364036998e-05
constance lake sr white sl ns allo allo_D 0.00609559027290451 -1.33599474001477e-04 -6.11267734079349e-04 5.97724267520192e-05
constance stream al marine sl ns allo allo_D 0.00538727227867299 -2.37877654973342e-04 0.00116041228683299 1.08253886901006e-04
constance stream cl marine sl ns allo allo_D 0.00481247491613169 -9.5497329384252e-05 8.5400879232029e-04 2.33237197639519e-04
constance stream cl white sl ns allo allo_D 0.00490447318530281 -1.83077543275734e-04 0.00130924034113418 1.63570970416235e-04
constance stream cp marine sl ns allo allo_D 0.00618178621073962 -6.46612138257715e-05 -0.00102278905147672 -4.3818248481505e-05
constance stream geneva lake sl sl para para_D 0.00234187314407093 -3.42056152835104e-05 1.2912684311849e-04 -6.34139181174077e-05
constance stream geneva stream sl sl para para_S 0.00209001933066549 -2.85289244324545e-05 2.50117265961161e-04 -5.78235773242014e-05
constance stream joes lake sl bc allo allo_D 0.00176002732862659 -1.99476999857131e-05 1.44930779009211e-04 -3.28289762464396e-05
constance stream joes stream sl bc allo allo_S 0.00191081277583195 -2.22780045265623e-05 6.23818971742255e-05 -3.65118425312496e-05
constance stream ln marine sl ns allo allo_D 0.00615819589683093 -8.68603872123061e-05 -5.68375994123386e-04 1.15319433651575e-04
constance stream mh marine sl ns allo allo_D 0.00347886686172179 -3.74676957152342e-05 0.00216307430415901 3.96567673791248e-04
constance stream mh white sl ns allo allo_D 5.70250949502573e-04 -3.36952792866929e-04 0.00784198855888559 3.20850910605694e-04
constance stream misty lake sl bc allo allo_D 0.00184888213305914 1.23060976224766e-05 3.07140552931224e-04 -3.66922333347058e-05
constance stream misty stream sl bc allo allo_S 0.00181526041830796 8.53586049094468e-06 3.75087091288215e-04 -3.40719308439097e-05
constance stream roberts lake sl bc allo allo_D 0.00217950958109567 -2.84325796179645e-06 2.22680676748345e-04 -3.82544804926964e-05
constance stream roberts stream sl bc allo allo_S 0.00218643428447704 -3.88645354668205e-06 9.5751412266118e-05 -4.51956265363148e-05
constance stream sk marine sl ns allo allo_D 0.00676076795070367 -1.92670391928773e-04 -2.04606748837111e-04 1.04506919801491e-04
constance stream sr marine sl ns allo allo_D 0.00628729822575127 -1.43812128837696e-04 -2.45197336814603e-05 3.28223216223798e-05
constance stream sr white sl ns allo allo_D 0.00681170115015594 -1.2826052289701e-04 -7.95081126505217e-04 2.27151697813428e-05
cp marine ln marine ns ns para para_S 0.00128548272935167 6.22485399289476e-05 3.04198968565374e-04 -8.59394878235225e-06
cp marine mh marine ns ns para para_S 0.00129897013593338 6.13253289381922e-05 4.81922250117035e-04 -1.07135353654264e-05
cp marine mh white ns ns para para_D 0.00121331077958255 5.13102714683788e-05 7.57007123303986e-04 -2.0877559068005e-05
cp marine sk marine ns ns para para_S 0.00128385733076465 5.86787020003313e-05 3.80770830397704e-04 -1.03965908876198e-05
cp marine sr marine ns ns para para_S 0.00123565741102695 6.71956032633329e-05 4.17630684339259e-04 -1.21822121461725e-05
cp marine sr white ns ns para para_D 0.00119848574233006 6.51243682960986e-05 3.99718262781483e-04 -7.40401852531104e-06
cr stream al marine or ns allo allo_D 0.00208253136240829 1.43311419513855e-04 9.26656286554779e-04 2.15375862228541e-05
cr stream bea lake or al allo allo_D 0.00220985259587311 4.71071680315199e-05 3.30772182092503e-04 -5.06945039402254e-05
cr stream boot lake or bc allo allo_D 0.00158683704292339 3.7307963084354e-05 3.32016496742064e-04 -3.85204793395099e-05
cr stream boot stream or bc allo allo_S 0.00129254672022593 4.51758666865262e-05 5.0914695476113e-04 -4.13282734852516e-05
cr stream cl marine or ns allo allo_D 0.00152572982795318 1.57056614451468e-04 0.00171256806053695 8.23466476530863e-06
cr stream cl white or ns allo allo_D 0.00184405683349607 1.35218598139667e-04 0.00110796989782974 4.07225304772179e-05
cr stream constance lake or sl allo allo_D 0.00106280600398364 4.18714408752465e-05 4.19943456593639e-04 -3.00593932886966e-05
cr stream constance stream or sl allo allo_S 0.00111744006504131 4.53971791195418e-05 4.43336820540747e-04 -3.60918756950127e-05
cr stream cp marine or ns allo allo_D 0.00228704061400217 1.17913264580367e-04 2.81295640534852e-04 -1.3899437931434e-05
cr stream cs marine or or para para_D 0.00151818090999466 5.53740941192299e-05 4.72347675501704e-04 2.9504855837052e-06
cr stream denmark marine or ne allo allo_D 0.00117827804201138 1.39626232712125e-04 4.46274413468909e-04 -9.54168802782072e-06
cr stream geneva lake or sl allo allo_D 0.00125620773241775 3.29759929099525e-05 2.39161707503003e-04 -3.39156018115002e-05
cr stream geneva stream or sl allo allo_S 0.00117085713239296 3.37893915221632e-05 2.79869312542816e-04 -3.49024939542797e-05
cr stream hadsten lake or ne allo allo_D 0.00123080329913959 4.55073700757136e-05 2.96216599842626e-04 -1.90391981559214e-05
cr stream hald lake or ne allo allo_D 0.00129249034251132 5.68826067077847e-05 4.13459584590194e-04 -1.80453763023113e-05
cr stream japan japansea or jp allo allo_D 9.11312261133591e-04 5.61937037226485e-05 3.10566699506096e-04 1.63944435760887e-05
cr stream japan marine or jp allo allo_D 0.00111397833454759 8.60809528467224e-05 5.37284965659761e-04 -1.06214864054364e-05
cr stream joes lake or bc allo allo_D 0.00160114683566609 2.28465554863493e-05 1.43275684869425e-04 -2.2263099711555e-05
cr stream joes stream or bc allo allo_S 0.0016753403724048 2.09383354881559e-05 1.18329902689864e-04 -2.63616659890903e-05
cr stream litcampbell marine or bc allo allo_D 0.00526288875366153 4.6446704469528e-05 -0.00195958015295137 -7.8996958648847e-05
cr stream ln marine or ns allo allo_D 0.00228978248653933 2.47933411347653e-04 -1.12972330742954e-05 4.27153305037385e-05
cr stream mariager marine or ne allo allo_D 0.0013044241730473 6.46433242362219e-05 4.68586338504695e-04 -1.38607406608686e-05
cr stream mh marine or ns allo allo_D 7.40655249365774e-04 3.0644385562733e-04 0.00246357103957051 7.85610930312567e-05
cr stream mh white or ns allo allo_D 0.00108090362679261 2.26240428484093e-04 0.00191812732314672 8.13387655095164e-05
cr stream misty lake or bc allo allo_D 0.00157780913616425 5.57616909734427e-05 4.98254617158055e-04 -2.48431126176549e-05
cr stream misty stream or bc allo allo_S 0.0016616282560794 5.48543388102842e-05 4.53043491434291e-04 -2.59519779504641e-05
cr stream ms marine or or para para_D 0.00159108630994778 7.53444557035883e-05 5.06387152838884e-04 -1.79279197114645e-05
cr stream mud lake or al allo allo_D 0.00234746892390429 4.36740742974529e-05 2.08599950547249e-04 -5.40280146552552e-05
cr stream pcr lake or or para para_D 0.00178525867740423 3.73621356279757e-05 2.83336501315908e-04 2.50061390990332e-06
cr stream pl lake or or para para_D 0.0022160913670564 6.0003498902346e-07 8.71671915091396e-05 -5.0345298238702e-05
cr stream rab marine or al allo allo_D 0.0028841486513655 1.03444115640768e-04 -8.93401064527496e-05 -6.41310593268361e-05
cr stream rb stream or or para para_S 0.0022347315658376 2.83274544265331e-05 3.15935158989387e-04 -3.73958208424886e-05
cr stream res marine or al allo allo_D 0.00193084772119663 5.35165595413849e-05 5.50224301254566e-04 -4.61106808266249e-05
cr stream roberts lake or bc allo allo_D 0.00182581109993477 3.87503409400849e-05 4.46066497026634e-04 -1.96996063773361e-05
cr stream roberts stream or bc allo allo_S 0.00178146910140856 2.90815165684152e-05 3.30823636225763e-04 -2.16691371776423e-05
cr stream sj marine or or para para_D 0.00167405114041637 4.54024534914499e-05 4.25877505163945e-04 -5.22833301182745e-07
