pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
boot	lake	geneva	stream	allo	D	0.00189375887853953	-1.39017777036422e-05	8.90702738529666e-05	-4.7251393224441e-05	NA	731	1834	allo_D	bc	sl	allo	allo_D
boot	lake	joes	lake	allo	S	0.00207815087317398	-2.21548412613819e-05	0.000252075117167846	-4.1977206022146e-05	NA	747	1861	allo_S	bc	bc	para	para_S
boot	lake	joes	stream	allo	D	0.00228125049399895	-2.64025455624283e-05	9.33118774844722e-05	-4.55328707771223e-05	NA	713	1850	allo_D	bc	bc	para	para_D
boot	lake	ln	marine	allo	D	0.00608770786098162	-9.35608031588595e-06	-0.000913907238862206	-7.02221526184483e-05	NA	1	252	allo_D	bc	ns	allo	allo_D
boot	lake	mh	marine	allo	D	0.00488288615742449	8.57369510031392e-05	0.000680570203422091	8.83294579281628e-05	NA	0	110	allo_D	bc	ns	allo	allo_D
boot	lake	mh	white	allo	D	0.00584377964602854	-0.00024160432264372	0.000738241282039536	0.000275012215695322	NA	0	72	allo_D	bc	ns	allo	allo_D
boot	lake	misty	lake	allo	S	0.00225612687743644	4.75213141959651e-06	0.000384482286624904	-4.75121974956293e-05	NA	809	2041	allo_S	bc	bc	para	para_S
boot	lake	misty	stream	allo	D	0.00221216973246557	8.02757384363356e-06	0.000473656764636408	-4.98334613455453e-05	NA	802	2023	allo_D	bc	bc	para	para_D
boot	lake	roberts	lake	allo	S	0.00253667631056562	-1.39500013742287e-05	0.000337325774585835	-4.80537804943566e-05	NA	847	2120	allo_S	bc	bc	para	para_S
boot	lake	roberts	stream	allo	D	0.00250565823541115	-1.65461763166096e-05	0.00023412121517644	-5.34969338752992e-05	NA	807	2032	allo_D	bc	bc	para	para_D
boot	lake	sk	marine	allo	D	0.00609553602553812	-2.65693984973657e-05	-0.000514027216511014	-8.65887765000083e-06	NA	0	178	allo_D	bc	ns	allo	allo_D
boot	lake	sr	marine	allo	D	0.00581716097172485	-1.02891929982778e-05	-0.000203944339477651	-9.57780855184049e-05	NA	0	194	allo_D	bc	ns	allo	allo_D
