pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
cr	stream	hadsten	lake	allo	D	-1.58709798822027	30915.6386383394	-0.644049770280965	-0.0824055737262194	NA	883	2525	allo_D	or	ne	allo	allo_D
cr	stream	hald	lake	allo	D	-1.97099351218987	38932.6539986174	-0.739537442807574	-0.0635852943842037	NA	913	2589	allo_D	or	ne	allo	allo_D
cr	stream	japan	japansea	allo	D	-1.55387811849963	17878.8214318847	-0.320651586481892	-0.126670006497512	NA	1601	3229	allo_D	or	jp	allo	allo_D
cr	stream	japan	marine	allo	D	-2.13473593722277	17937.3436646298	-0.775851658644091	-0.0403266003854219	NA	1564	2815	allo_D	or	jp	allo	allo_D
cr	stream	joes	lake	allo	D	-2.6017982849161	-12010.5924204859	0.151199543878946	-0.00800429644633928	NA	609	2087	allo_D	or	bc	allo	allo_D
cr	stream	joes	stream	allo	S	-2.43972819867678	-16212.3270938671	0.00639852453254347	-0.0090706276814957	NA	566	2026	allo_S	or	bc	allo	allo_S
cr	stream	litcampbell	marine	allo	D	-2.23152582667211	58402.7304267573	-2.06358040229201	0.160743492285446	NA	1	116	allo_D	or	bc	allo	allo_D
cr	stream	ln	marine	allo	D	-0.344803097324304	-4633.85912409725	-1.13262312277807	-0.0469302857765968	NA	2	466	allo_D	or	ns	allo	allo_D
cr	stream	mariager	marine	allo	D	-2.13612558918001	24010.4173046701	-0.563676829187948	-0.0881183089208187	NA	881	2594	allo_D	or	ne	allo	allo_D
cr	stream	mh	marine	allo	D	0.152376517919511	-46307.9523819704	-0.55997160522804	-0.185469306666577	NA	1	186	allo_D	or	ns	allo	allo_D
cr	stream	mh	white	allo	D	-0.611097962914941	-40242.705807105	0.214751646482386	-0.124814970481323	NA	0	136	allo_D	or	ns	allo	allo_D
cr	stream	misty	lake	allo	D	-2.63660244527871	-11773.8862555681	-0.396635520165012	0.0281523788823215	NA	672	2280	allo_D	or	bc	allo	allo_D
cr	stream	misty	stream	allo	S	-2.63613835683722	-7401.0022039904	-0.238622509394319	-0.00868864976096096	NA	673	2256	allo_S	or	bc	allo	allo_S
cr	stream	ms	marine	allo	D	-2.1192397736761	26828.267420476	-1.07451865826042	-0.00395279366994826	NA	909	2562	allo_D	or	or	para	para_D
cr	stream	mud	lake	allo	D	-1.80586750454811	7597.87662194463	-1.27346601179095	-0.00113819921721604	NA	125	1703	allo_D	or	al	allo	allo_D
