pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
cr stream wc stream or or para para_S -2.723 -0.113 -0.15 0.047
cs marine al marine or ns allo allo_S NA NA NA NA
cs marine bea lake or al allo allo_D 0.682 -0.146 -1.418 -0.372
cs marine boot lake or bc allo allo_D -2.954 -0.026 -0.393 0.09
cs marine boot stream or bc allo allo_D -2.618 -0.044 -1.824 0.247
cs marine cl marine or ns allo allo_S NA NA NA NA
cs marine cl white or ns allo allo_D NA NA NA NA
cs marine constance lake or sl allo allo_D -4.046 0.094 0.649 0.01
cs marine constance stream or sl allo allo_D -3.872 0.073 0.376 0.049
cs marine cp marine or ns allo allo_S NA NA NA NA
cs marine denmark marine or ne allo allo_S -1.98 0.055 -1.313 0.031
cs marine geneva lake or sl allo allo_D -3.235 0.048 -0.035 0.026
cs marine geneva stream or sl allo allo_D -2.805 0.036 -0.325 8e-03
cs marine hadsten lake or ne allo allo_D -4.249 0.104 0.688 0.034
cs marine hald lake or ne allo allo_D -4.518 0.112 0.89 0.035
cs marine japan japansea or jp allo allo_D -3.063 0.066 0.227 -0.079
cs marine japan marine or jp allo allo_S -3.354 0.061 0.26 -0.017
cs marine joes lake or bc allo allo_D -1.554 -0.154 -1.758 0.115
cs marine joes stream or bc allo allo_D -1.754 -0.157 -1.596 0.126
cs marine litcampbell marine or bc allo allo_S NA NA NA NA
cs marine ln marine or ns allo allo_S NA NA NA NA
cs marine mariager marine or ne allo allo_S -4.252 0.109 0.707 0.021
cs marine mh marine or ns allo allo_S NA NA NA NA
cs marine mh white or ns allo allo_D NA NA NA NA
cs marine misty lake or bc allo allo_D -1.719 -0.085 -1.063 8e-03
cs marine misty stream or bc allo allo_D -2.562 -0.108 -0.133 0.018
cs marine ms marine or or para para_S -3.859 0.068 -0.022 0.124
cs marine mud lake or al allo allo_D -0.28 -0.079 -0.629 -0.352
cs marine pcr lake or or para para_D -3.192 -0.034 0.296 0.016
cs marine pl lake or or para para_D -2.783 -0.143 -0.053 0.054
cs marine rab marine or al allo allo_S NA NA NA NA
cs marine rb stream or or para para_D -2.383 -0.065 -0.794 0.075
cs marine res marine or al allo allo_S 3.008 -0.077 -5.079 -0.171
cs marine roberts lake or bc allo allo_D -2.069 -0.071 -1.09 0.07
cs marine roberts stream or bc allo allo_D -2.186 -0.07 -1.067 0.086
cs marine sj marine or or para para_S -3.687 0.028 0.296 0.071
cs marine sk marine or ns allo allo_S NA NA NA NA
cs marine sr marine or ns allo allo_S NA NA NA NA
cs marine sr white or ns allo allo_D NA NA NA NA
cs marine stl lake or or para para_D -2.908 -0.108 -0.046 0.063
cs marine wc stream or or para para_D -3.72 0.01 0.516 0.05
denmark marine al marine ne ns allo allo_S -3.15 0.013 -0.097 0.058
denmark marine boot lake ne bc allo allo_D NA NA NA NA
denmark marine boot stream ne bc allo allo_D NA NA NA NA
denmark marine cl marine ne ns allo allo_S -2.995 0.059 -0.261 0.025
denmark marine cl white ne ns allo allo_D -3.275 0.055 -0.355 0.101
denmark marine constance lake ne sl allo allo_D NA NA NA NA
denmark marine constance stream ne sl allo allo_D NA NA NA NA
denmark marine cp marine ne ns allo allo_S -3.394 0.072 0.139 0.019
denmark marine geneva lake ne sl allo allo_D NA NA NA NA
denmark marine geneva stream ne sl allo allo_D NA NA NA NA
denmark marine joes lake ne bc allo allo_D NA NA NA NA
denmark marine joes stream ne bc allo allo_D NA NA NA NA
denmark marine litcampbell marine ne bc allo allo_S NA NA NA NA
denmark marine ln marine ne ns allo allo_S -2.97 0.048 -0.258 0.027
denmark marine mh marine ne ns allo allo_S -2.337 0.014 -0.616 -0.019
denmark marine mh white ne ns allo allo_D -1.23 0.012 -1.937 -2e-03
denmark marine misty lake ne bc allo allo_D NA NA NA NA
denmark marine misty stream ne bc allo allo_D NA NA NA NA
denmark marine roberts lake ne bc allo allo_D NA NA NA NA
denmark marine roberts stream ne bc allo allo_D NA NA NA NA
denmark marine sk marine ne ns allo allo_S -3.259 0.039 0.234 -3e-03
denmark marine sr marine ne ns allo allo_S -2.984 0.024 -0.14 0.023
denmark marine sr white ne ns allo allo_D -3.72 0.041 0.254 0.088
geneva lake al marine sl ns allo allo_D NA NA NA NA
geneva lake cl marine sl ns allo allo_D NA NA NA NA
geneva lake cl white sl ns allo allo_D NA NA NA NA
geneva lake cp marine sl ns allo allo_D NA NA NA NA
geneva lake geneva stream sl sl para para_D -2.215 0.079 -0.767 -0.073
geneva lake joes lake sl bc allo allo_S -1.458 -0.055 -0.956 -0.081
geneva lake joes stream sl bc allo allo_D -1.982 -0.026 -1.059 0.025
geneva lake ln marine sl ns allo allo_D NA NA NA NA
geneva lake mh marine sl ns allo allo_D NA NA NA NA
geneva lake mh white sl ns allo allo_D NA NA NA NA
geneva lake misty lake sl bc allo allo_S -2.537 -0.039 0.111 -0.075
geneva lake misty stream sl bc allo allo_D -1.852 0.011 -1.155 -7e-03
geneva lake roberts lake sl bc allo allo_S -2.535 -6e-03 -0.923 0.089
geneva lake roberts stream sl bc allo allo_D -2.26 -0.074 -0.632 0.027
geneva lake sk marine sl ns allo allo_D NA NA NA NA
geneva lake sr marine sl ns allo allo_D NA NA NA NA
geneva lake sr white sl ns allo allo_D NA NA NA NA
geneva stream al marine sl ns allo allo_D NA NA NA NA
geneva stream cl marine sl ns allo allo_D NA NA NA NA
geneva stream cl white sl ns allo allo_D NA NA NA NA
geneva stream cp marine sl ns allo allo_D NA NA NA NA
geneva stream joes lake sl bc allo allo_D -1.365 -0.035 -1.032 -0.103
geneva stream joes stream sl bc allo allo_S -1.742 -0.031 -1.254 0.013
geneva stream ln marine sl ns allo allo_D NA NA NA NA
geneva stream mh marine sl ns allo allo_D NA NA NA NA
geneva stream mh white sl ns allo allo_D NA NA NA NA
geneva stream misty lake sl bc allo allo_D -2.65 -0.053 0.103 -0.038
geneva stream misty stream sl bc allo allo_S -2.022 -0.018 -0.744 -0.031
geneva stream roberts lake sl bc allo allo_D -2.168 -0.063 -0.776 0.031
geneva stream roberts stream sl bc allo allo_S -2.313 -0.119 -0.433 0.025
geneva stream sk marine sl ns allo allo_D NA NA NA NA
geneva stream sr marine sl ns allo allo_D NA NA NA NA
geneva stream sr white sl ns allo allo_D NA NA NA NA
hadsten lake al marine ne ns allo allo_D NA NA NA NA
hadsten lake bea lake ne al allo allo_S NA NA NA NA
hadsten lake boot lake ne bc allo allo_S -4.029 0.046 0.663 0.052
hadsten lake boot stream ne bc allo allo_D -2.468 -0.038 -1.033 0.112
hadsten lake cl marine ne ns allo allo_D NA NA NA NA
hadsten lake cl white ne ns allo allo_D NA NA NA NA
hadsten lake constance lake ne sl allo allo_S -1.927 0.094 -1.295 -0.041
hadsten lake constance stream ne sl allo allo_D -2.099 0.104 -1.093 -0.063
hadsten lake cp marine ne ns allo allo_D NA NA NA NA
hadsten lake denmark marine ne ne para para_D NA NA NA NA
hadsten lake geneva lake ne sl allo allo_S -1.927 0.077 -1.509 0.017
hadsten lake geneva stream ne sl allo allo_D -2.327 0.063 -1.103 0.029
hadsten lake hald lake ne ne para para_S -4.005 0.056 0.751 0.021
hadsten lake japan japansea ne jp allo allo_D -3.12 -5e-03 0.37 -0.033
hadsten lake japan marine ne jp allo allo_D -3.633 0.101 0.191 0.014
hadsten lake joes lake ne bc allo allo_S -2.881 0.048 -0.532 0.054
hadsten lake joes stream ne bc allo allo_D -3.748 0.03 0.152 0.098
hadsten lake litcampbell marine ne bc allo allo_D NA NA NA NA
hadsten lake ln marine ne ns allo allo_D NA NA NA NA
hadsten lake mariager marine ne ne para para_D -3.898 0.06 0.794 -0.014
hadsten lake mh marine ne ns allo allo_D NA NA NA NA
hadsten lake mh white ne ns allo allo_D NA NA NA NA
hadsten lake misty lake ne bc allo allo_S -2.863 0.036 -0.453 0.04
hadsten lake misty stream ne bc allo allo_D -3.428 0.028 0.048 0.062
hadsten lake mud lake ne al allo allo_S NA NA NA NA
hadsten lake rab marine ne al allo allo_D NA NA NA NA
hadsten lake res marine ne al allo allo_D NA NA NA NA
hadsten lake roberts lake ne bc allo allo_S -3.554 0.048 -0.297 0.127
hadsten lake roberts stream ne bc allo allo_D -2.481 0.019 -1.154 0.105
hadsten lake sk marine ne ns allo allo_D NA NA NA NA
hadsten lake sr marine ne ns allo allo_D NA NA NA NA
hadsten lake sr white ne ns allo allo_D NA NA NA NA
hald lake al marine ne ns allo allo_D NA NA NA NA
hald lake bea lake ne al allo allo_S NA NA NA NA
hald lake boot lake ne bc allo allo_S -3.03 -1e-03 0.342 -0.04
hald lake boot stream ne bc allo allo_D -2.651 -0.019 -0.816 0.102
hald lake cl marine ne ns allo allo_D NA NA NA NA
hald lake cl white ne ns allo allo_D NA NA NA NA
hald lake constance lake ne sl allo allo_S -3.093 0.077 -0.118 -0.014
hald lake constance stream ne sl allo allo_D -1.324 0.079 -1.91 -0.033
hald lake cp marine ne ns allo allo_D NA NA NA NA
hald lake denmark marine ne ne para para_D NA NA NA NA
hald lake geneva lake ne sl allo allo_S -1.784 0.035 -1.438 0.015
hald lake geneva stream ne sl allo allo_D -3.233 0.036 -0.105 0.047
hald lake japan japansea ne jp allo allo_D -2.47 0.015 -0.343 -0.043
hald lake japan marine ne jp allo allo_D -3.708 0.084 0.283 0.03
hald lake joes lake ne bc allo allo_S -2.504 1e-03 -0.663 0.04
hald lake joes stream ne bc allo allo_D -2.905 0.025 -0.415 0.053
hald lake litcampbell marine ne bc allo allo_D NA NA NA NA
hald lake ln marine ne ns allo allo_D NA NA NA NA
hald lake mariager marine ne ne para para_D -3.329 0.044 0.218 1e-03
hald lake mh marine ne ns allo allo_D NA NA NA NA
