pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
constance stream misty lake sl bc allo allo_D -2.252 -0.357 0.171 -0.033
constance stream misty stream sl bc allo allo_S -2.478 -0.335 0.304 -0.015
constance stream roberts lake sl bc allo allo_D -2.154 -0.19 -0.472 0.019
constance stream roberts stream sl bc allo allo_S -2.269 -0.094 -0.675 0.042
constance stream sk marine sl ns allo allo_D -3.654 -0.193 2.396 -0.252
constance stream sr marine sl ns allo allo_D -3.032 -0.24 1.972 -0.264
constance stream sr white sl ns allo allo_D -4.287 -0.044 1.868 -0.067
cp marine ln marine ns ns para para_S -1.774 -0.096 -1.212 0.037
cp marine mh marine ns ns para para_S -2.908 -0.088 0.095 0.029
cp marine mh white ns ns para para_D -2.156 -0.084 -0.064 -0.122
cp marine sk marine ns ns para para_S -2.94 -0.052 0.178 -4e-03
cp marine sr marine ns ns para para_S -2.673 -5e-03 -0.171 -0.022
cp marine sr white ns ns para para_D -1.675 -0.111 -0.953 -0.03
cr stream al marine or ns allo allo_D -0.891 -0.318 0.295 -0.105
cr stream bea lake or al allo allo_D -2.522 -0.16 0.131 -0.027
cr stream boot lake or bc allo allo_D -1.341 -0.145 -0.943 -0.043
cr stream boot stream or bc allo allo_S -1.478 -0.162 -0.614 -0.021
cr stream cl marine or ns allo allo_D 0.224 -0.38 -0.409 -0.113
cr stream cl white or ns allo allo_D -0.198 -0.367 -0.074 -0.124
cr stream constance lake or sl allo allo_D -0.946 -0.225 -0.578 -0.023
cr stream constance stream or sl allo allo_S -1.121 -0.211 -0.508 -0.032
cr stream cp marine or ns allo allo_D -0.03 -0.339 -0.676 -0.076
cr stream cs marine or or para para_D -1.209 -0.346 -0.969 -0.05
cr stream denmark marine or ne allo allo_D -0.485 -0.259 -0.222 -0.106
cr stream geneva lake or sl allo allo_D -1.121 -0.207 -0.681 1e-03
cr stream geneva stream or sl allo allo_S -0.531 -0.215 -1.237 0.013
cr stream hadsten lake or ne allo allo_D -1.078 -0.241 -0.324 -0.096
cr stream hald lake or ne allo allo_D -1.297 -0.266 -0.54 -0.072
cr stream japan japansea or jp allo allo_D -1.24 -0.2 -0.051 -0.134
cr stream japan marine or jp allo allo_D -1.264 -0.459 -0.707 -0.053
cr stream joes lake or bc allo allo_D -2.387 -0.18 0.317 -0.019
cr stream joes stream or bc allo allo_S -2.269 -0.152 0.086 -0.014
cr stream litcampbell marine or bc allo allo_D -2.508 -0.555 0.59 0.04
cr stream ln marine or ns allo allo_D -0.113 -0.414 -0.331 -0.069
cr stream mariager marine or ne allo allo_D -1.476 -0.302 -0.383 -0.103
cr stream mh marine or ns allo allo_D -0.215 -0.276 0.221 -0.187
cr stream mh white or ns allo allo_D -0.815 -0.245 0.949 -0.143
cr stream misty lake or bc allo allo_D -2.178 -0.32 -0.158 5e-03
cr stream misty stream or bc allo allo_S -2.11 -0.272 -0.124 -0.031
cr stream ms marine or or para para_D -1.29 -0.454 -0.865 -0.022
cr stream mud lake or al allo allo_D -1.484 -0.167 -1.04 -0.02
cr stream pcr lake or or para para_D -2.139 -0.19 -0.06 -0.074
cr stream pl lake or or para para_D -2.339 -0.017 -0.189 -0.079
cr stream rab marine or al allo allo_D -0.53 -0.428 -1.116 0.019
cr stream rb stream or or para para_S -1.495 -0.142 -0.879 -0.069
cr stream res marine or al allo allo_D -1.907 -0.183 -0.396 -0.034
cr stream roberts lake or bc allo allo_D -1.339 -0.245 -1.098 -0.018
cr stream roberts stream or bc allo allo_S -1.676 -0.181 -0.735 -0.038
cr stream sj marine or or para para_D -1.642 -0.305 -0.521 -0.055
cr stream sk marine or ns allo allo_D -0.135 -0.307 -0.035 -0.176
cr stream sr marine or ns allo allo_D 0.033 -0.272 -0.618 -0.11
cr stream sr white or ns allo allo_D -0.2 -0.324 -0.163 -0.154
cr stream stl lake or or para para_D -2.116 0.049 -1.152 9e-03
cr stream wc stream or or para para_S -1.746 -0.251 -0.418 -0.067
cs marine al marine or ns allo allo_S -1.959 -0.027 -0.306 -0.137
cs marine bea lake or al allo allo_D -2.245 -0.054 -0.434 -0.028
cs marine boot lake or bc allo allo_D -1.801 -0.091 -0.865 -0.023
cs marine boot stream or bc allo allo_D -1.989 -0.135 -0.547 -0.026
cs marine cl marine or ns allo allo_S -2.429 -0.123 0.258 -0.082
cs marine cl white or ns allo allo_D -2.197 -0.109 0.016 -0.097
cs marine constance lake or sl allo allo_D -2.232 -3e-03 -0.416 -0.072
cs marine constance stream or sl allo allo_D -3 -0.034 0.363 -0.041
cs marine cp marine or ns allo allo_S -2.053 -0.08 -0.18 -0.11
cs marine denmark marine or ne allo allo_S -2.904 -0.014 0.343 -0.073
cs marine geneva lake or sl allo allo_D -1.992 2e-03 -0.608 -0.093
cs marine geneva stream or sl allo allo_D -1.658 -1e-03 -0.913 -0.106
cs marine hadsten lake or ne allo allo_D -2.456 0.036 -0.257 -0.088
cs marine hald lake or ne allo allo_D -2.102 9e-03 -0.306 -0.146
cs marine japan japansea or jp allo allo_D -2.107 -0.145 2e-03 -0.126
cs marine japan marine or jp allo allo_S -2.054 -0.068 -0.379 -0.085
cs marine joes lake or bc allo allo_D -1.882 -0.149 -0.79 6e-03
cs marine joes stream or bc allo allo_D -2.494 -0.154 -0.262 0.035
cs marine litcampbell marine or bc allo allo_S 0.491 -0.048 -2.554 -0.126
cs marine ln marine or ns allo allo_S -2.683 -0.081 0.084 -0.016
cs marine mariager marine or ne allo allo_S -2.558 5e-03 0.014 -0.1
cs marine mh marine or ns allo allo_S -2.816 -0.083 0.143 9e-03
cs marine mh white or ns allo allo_D -4.107 0.033 1.579 -0.104
cs marine misty lake or bc allo allo_D -2.067 -0.301 -0.282 -4e-03
cs marine misty stream or bc allo allo_D -2.286 -0.305 -0.02 -7e-03
cs marine ms marine or or para para_S -2.358 -0.068 -0.317 -0.022
cs marine mud lake or al allo allo_D -3.02 -0.041 0.294 -0.016
cs marine pcr lake or or para para_D -1.722 -0.371 -0.22 -0.078
cs marine pl lake or or para para_D -1.422 -0.345 -0.772 -0.041
cs marine rab marine or al allo allo_S -2.293 -5e-03 -0.244 -0.089
cs marine rb stream or or para para_D -1.679 -0.273 -0.441 -0.071
cs marine res marine or al allo allo_S -2.404 -0.014 -0.166 -0.078
cs marine roberts lake or bc allo allo_D -1.76 -0.217 -0.595 -0.036
cs marine roberts stream or bc allo allo_D -2.167 -0.244 -0.254 -5e-03
cs marine sj marine or or para para_S -2.104 -0.083 -0.478 -0.041
cs marine sk marine or ns allo allo_S -2.869 -0.084 0.297 -0.017
cs marine sr marine or ns allo allo_S -2.166 -0.104 -0.139 -0.065
cs marine sr white or ns allo allo_D -2.628 -0.096 0.201 -0.045
cs marine stl lake or or para para_D -1.213 -0.336 -0.973 -0.051
cs marine wc stream or or para para_D -1.615 -0.212 -0.71 -0.049
denmark marine al marine ne ns allo allo_S -1.624 -0.052 -1.494 0.037
denmark marine boot lake ne bc allo allo_D -2.201 -0.195 0.047 -0.053
denmark marine boot stream ne bc allo allo_D -0.948 -0.205 -1.429 -0.061
denmark marine cl marine ne ns allo allo_S -2.247 -0.066 -0.845 0.057
denmark marine cl white ne ns allo allo_D -1.822 -0.013 -1.468 0.052
denmark marine constance lake ne sl allo allo_D -2.857 -0.083 0.334 -0.028
denmark marine constance stream ne sl allo allo_D -3.195 -0.084 0.714 -0.03
denmark marine cp marine ne ns allo allo_S -2.733 -0.073 -0.032 3e-03
denmark marine geneva lake ne sl allo allo_D -3.402 -0.084 1.087 -0.067
denmark marine geneva stream ne sl allo allo_D -3.774 -0.098 1.443 -0.061
denmark marine joes lake ne bc allo allo_D -2.943 -0.113 0.862 -0.063
denmark marine joes stream ne bc allo allo_D -3.183 -0.049 0.868 -0.092
denmark marine litcampbell marine ne bc allo allo_S -2.191 0.109 -2.663 0.207
denmark marine ln marine ne ns allo allo_S -1.934 -0.035 -1.191 0.037
denmark marine mh marine ne ns allo allo_S -2.184 9e-03 -1.007 0.029
denmark marine mh white ne ns allo allo_D -2.015 0.035 -1.205 0.01
denmark marine misty lake ne bc allo allo_D -2.239 -0.212 0.229 -0.099
denmark marine misty stream ne bc allo allo_D -2.494 -0.184 0.211 -0.049
denmark marine roberts lake ne bc allo allo_D -2.343 -0.115 1e-03 -0.068
denmark marine roberts stream ne bc allo allo_D -2.705 -0.18 0.604 -0.088
denmark marine sk marine ne ns allo allo_S -1.384 -0.041 -1.57 -8e-03
denmark marine sr marine ne ns allo allo_S -1.681 -0.054 -1.305 0.014
denmark marine sr white ne ns allo allo_D -1.462 -0.038 -1.513 -3e-03
geneva lake al marine sl ns allo allo_D -4.137 -0.082 2.21 -0.128
geneva lake cl marine sl ns allo allo_D -3.744 -0.03 1.984 -0.165
geneva lake cl white sl ns allo allo_D -3.207 -0.071 0.927 -0.061
geneva lake cp marine sl ns allo allo_D -2.175 -0.242 0.385 -0.113
geneva lake geneva stream sl sl para para_D -1.456 -0.083 -1.227 -0.024
geneva lake joes lake sl bc allo allo_S -3.064 1e-03 -0.079 0.042
geneva lake joes stream sl bc allo allo_D -3.492 -0.034 0.325 0.071
geneva lake ln marine sl ns allo allo_D -2.521 -0.229 1.042 -0.193
geneva lake mh marine sl ns allo allo_D NA NA NA NA
geneva lake mh white sl ns allo allo_D -4.246 -0.259 3.263 -0.171
geneva lake misty lake sl bc allo allo_S -1.735 -0.257 -0.859 0.03
geneva lake misty stream sl bc allo allo_D -1.962 -0.311 -0.515 0.027
geneva lake roberts lake sl bc allo allo_S -2.307 -0.157 -0.471 0.039
geneva lake roberts stream sl bc allo allo_D -2.363 -0.117 -0.68 0.072
geneva lake sk marine sl ns allo allo_D -3.654 -0.22 2.433 -0.23
geneva lake sr marine sl ns allo allo_D -3.015 -0.264 1.799 -0.186
geneva lake sr white sl ns allo allo_D -4.709 -0.016 2.762 -0.206
geneva stream al marine sl ns allo allo_D -3.427 -0.064 1.638 -0.19
geneva stream cl marine sl ns allo allo_D -3.484 -0.032 1.769 -0.163
geneva stream cl white sl ns allo allo_D -2.7 -0.065 0.587 -0.096
geneva stream cp marine sl ns allo allo_D -2.143 -0.242 0.393 -0.118
geneva stream joes lake sl bc allo allo_D -2.727 1e-03 -0.47 0.051
geneva stream joes stream sl bc allo allo_S -3.324 -0.037 0.141 0.076
geneva stream ln marine sl ns allo allo_D -2.27 -0.224 0.889 -0.205
geneva stream mh marine sl ns allo allo_D -2.6 -0.746 2.126 -0.312
geneva stream mh white sl ns allo allo_D -0.824 0.102 -1.135 -0.29
geneva stream misty lake sl bc allo allo_D -2.106 -0.234 -0.546 0.039
geneva stream misty stream sl bc allo allo_S -1.931 -0.245 -0.736 0.043
geneva stream roberts lake sl bc allo allo_D -1.74 -0.168 -1.097 0.041
geneva stream roberts stream sl bc allo allo_S -1.977 -0.149 -1.142 0.089
geneva stream sk marine sl ns allo allo_D -3.561 -0.221 2.465 -0.25
geneva stream sr marine sl ns allo allo_D -2.808 -0.264 1.743 -0.203
geneva stream sr white sl ns allo allo_D -3.09 -0.217 1.631 -0.182
hadsten lake al marine ne ns allo allo_D -4.243 0.106 0.587 0.05
hadsten lake bea lake ne al allo allo_S -2.209 -0.136 -0.29 -0.02
hadsten lake boot lake ne bc allo allo_S -2.804 -0.028 0.133 -0.038
hadsten lake boot stream ne bc allo allo_D -2.704 -0.088 0.013 -1e-03
hadsten lake cl marine ne ns allo allo_D -3.034 -0.014 0.157 0.016
hadsten lake cl white ne ns allo allo_D -3.38 0.087 -0.161 0.043
hadsten lake constance lake ne sl allo allo_S -2.333 -0.018 -0.22 -0.077
hadsten lake constance stream ne sl allo allo_D -2.118 -0.032 -0.319 -0.099
hadsten lake cp marine ne ns allo allo_D -3.92 0.038 0.838 0.01
hadsten lake denmark marine ne ne para para_D -1.813 -0.124 -0.851 -3e-03
hadsten lake geneva lake ne sl allo allo_S -2.301 -0.021 0.06 -0.151
hadsten lake geneva stream ne sl allo allo_D -2.296 -0.04 0.031 -0.13
hadsten lake hald lake ne ne para para_S -2.942 -2e-03 -0.361 0.073
hadsten lake japan japansea ne jp allo allo_D -1.782 -0.163 -0.139 -0.077
hadsten lake japan marine ne jp allo allo_D -2.264 -0.06 -0.45 -0.017
hadsten lake joes lake ne bc allo allo_S -3.017 -0.023 0.359 -0.043
hadsten lake joes stream ne bc allo allo_D -3.417 -3e-03 0.689 -0.039
hadsten lake litcampbell marine ne bc allo allo_D -2.542 -0.047 0.2 -0.021
hadsten lake ln marine ne ns allo allo_D -3.683 0.051 0.089 0.09
hadsten lake mariager marine ne ne para para_D -2.968 -0.01 -0.13 0.04
hadsten lake mh marine ne ns allo allo_D -4.618 0.12 2.055 -0.178
hadsten lake mh white ne ns allo allo_D -7.419 0.021 5.036 -0.144
hadsten lake misty lake ne bc allo allo_S -2.997 -0.132 0.449 -5e-03
hadsten lake misty stream ne bc allo allo_D -2.556 -0.107 0.125 -0.048
hadsten lake mud lake ne al allo allo_S -2.159 -0.127 -0.575 0.024
hadsten lake rab marine ne al allo allo_D -2.01 0.043 -0.614 -0.127
hadsten lake res marine ne al allo allo_D -1.898 -0.062 -0.932 7e-03
hadsten lake roberts lake ne bc allo allo_S -2.521 -0.07 0.037 -0.059
hadsten lake roberts stream ne bc allo allo_D -2.516 -0.045 -0.214 -0.019
hadsten lake sk marine ne ns allo allo_D -3.884 8e-03 0.669 0.054
hadsten lake sr marine ne ns allo allo_D -1.93 -0.023 -1.006 0.011
hadsten lake sr white ne ns allo allo_D -4.88 0.092 1.336 0.036
hald lake al marine ne ns allo allo_D -3.832 0.031 0.709 0.016
hald lake bea lake ne al allo allo_S -2.442 -0.134 -0.326 0.034
hald lake boot lake ne bc allo allo_S -2.654 -0.084 0.163 -0.045
hald lake boot stream ne bc allo allo_D -2.371 -0.085 -0.35 -1e-03
hald lake cl marine ne ns allo allo_D -3.277 -0.059 0.838 -0.047
hald lake cl white ne ns allo allo_D -3.725 0.04 0.577 0.013
hald lake constance lake ne sl allo allo_S -2.754 -0.031 0.422 -0.116
hald lake constance stream ne sl allo allo_D -2.672 -0.024 0.313 -0.115
hald lake cp marine ne ns allo allo_D -4.014 -0.02 1.114 0.021
hald lake denmark marine ne ne para para_D -0.504 -0.211 -1.723 -0.088
hald lake geneva lake ne sl allo allo_S -3.154 -0.042 0.826 -0.105
hald lake geneva stream ne sl allo allo_D -3.184 -0.024 0.82 -0.11
hald lake japan japansea ne jp allo allo_D -1.441 -0.19 -0.778 -0.092
hald lake japan marine ne jp allo allo_D -2.044 -0.129 -0.38 -0.048
hald lake joes lake ne bc allo allo_S -2.827 -0.043 0.247 -0.05
hald lake joes stream ne bc allo allo_D -3.32 -0.051 0.693 -0.03
hald lake litcampbell marine ne bc allo allo_D -2.05 -0.046 -0.479 -0.025
hald lake ln marine ne ns allo allo_D -3.844 0.011 0.564 0.065
hald lake mariager marine ne ne para para_D -2.271 -0.037 -0.617 4e-03
hald lake mh marine ne ns allo allo_D -4.235 -0.066 2.195 -0.105
hald lake mh white ne ns allo allo_D -5.839 -0.166 4.321 -0.166
hald lake misty lake ne bc allo allo_S -2.906 -0.182 0.608 -0.038
hald lake misty stream ne bc allo allo_D -2.608 -0.181 0.33 -0.046
hald lake mud lake ne al allo allo_S -2.151 -0.115 -0.828 0.062
hald lake rab marine ne al allo allo_D -2.929 -0.046 0.438 -0.059
hald lake res marine ne al allo allo_D -2.297 -0.038 -0.335 -0.045
hald lake roberts lake ne bc allo allo_S -3.007 -0.096 0.602 -0.056
hald lake roberts stream ne bc allo allo_D -2.238 -0.094 -0.105 -0.082
hald lake sk marine ne ns allo allo_D -3.561 -0.094 0.981 0.013
