pop1 ecotype1 pop2 ecotype2 geography ecology least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
hadsten lake roberts stream allo D 14794.6322699551 7486 28.1229144248713 10.3882673261491
hadsten lake sk marine allo D 7201.33709668513 4863 28.1229144248713 36.6348277359459
hadsten lake sr marine allo D 7295.88746994561 4928 28.1229144248713 11.8394149646078
hadsten lake sr white allo D 7295.88746994561 4928 28.1229144248713 11.8394149646078
hald lake al marine allo D 6958.89672830206 4894 50.825958263956 17.7034262798047
hald lake bea lake allo S 12357.5343064244 6771 50.825958263956 14.5206731368352
hald lake boot lake allo S 14519.4681783323 7470 50.825958263956 5.67597216838165
hald lake boot stream allo D 14519.4681783323 7471 50.825958263956 6.91833221364208
hald lake cl marine allo D 7267.66987416007 5092 50.825958263956 2.55735725140837
hald lake cl white allo D 7267.66987416007 5092 50.825958263956 2.55735725140837
hald lake constance lake allo S 7117.55839816421 1007 50.825958263956 309.669173746895
hald lake constance stream allo D 7117.55839816421 1007 50.825958263956 312.874383317611
hald lake cp marine allo D 6958.89672830206 4885 50.825958263956 9.43806083460371
hald lake denmark marine allo D 44.140095506998 72 50.825958263956 6.47121154776159
hald lake geneva lake allo S 5221.34756306845 1139 50.825958263956 276.805569090188
hald lake geneva stream allo D 5221.34756306845 1149 50.825958263956 257.985717905614
hald lake japan japansea allo D 12692.6537627029 8203 50.8259582639556 5.72190050170233
hald lake japan marine allo D 12692.6537627029 8203 50.8259582639556 5.72190050170233
hald lake joes lake allo S 13838.9500318437 7494 50.825958263956 31.2649491969665
hald lake joes stream allo D 13838.9500318437 7496 50.825958263956 33.0035423460137
hald lake litcampbell marine allo D 14342.8037028941 7492 50.825958263956 5.04389141424376
hald lake ln marine allo D 6971.70707187349 4811 50.825958263956 44.6415820125107
hald lake mariager marine allo D 300.588593197193 49 50.825958263956 37.7902832024181
hald lake mh marine allo D 7020.72337832277 4886 50.825958263956 22.411722748908
hald lake mh white allo D 7020.72337832277 4886 50.825958263956 22.411722748908
hald lake misty lake allo S 13838.9500318437 7491 50.825958263956 29.5125087175889
hald lake misty stream allo D 13838.9500318437 7491 50.825958263956 29.5517026172354
hald lake mud lake allo S 12364.604413583 6767 50.825958263956 20.0531727382859
hald lake rab marine allo D 12364.604413583 6794 50.825958263956 24.4017841973993
hald lake res marine allo D 12051.4126011716 6928 50.825958263956 5.83281857119578
hald lake roberts lake allo S 14519.4681783323 7460 50.825958263956 8.59103806541302
hald lake roberts stream allo D 14519.4681783323 7460 50.825958263956 10.3882673261491
hald lake sk marine allo D 6926.17300506229 4820 50.825958263956 36.6348277359459
hald lake sr marine allo D 7020.72337832277 4886 50.825958263956 11.8394149646078
hald lake sr white allo D 7020.72337832277 4886 50.825958263956 11.8394149646078
japan japansea al marine allo D 12673.0633071613 9805 5.72190050170233 19.5545455227529
japan japansea boot lake allo D 9325.2133681888 6488 5.72190050170233 7.46028713650605
japan japansea boot stream allo D 9325.2133681888 6488 5.72190050170233 8.65079081347112
japan japansea cl marine allo D 12981.3644333537 9872 5.72190050170233 1.3313493302831
japan japansea cl white allo D 12981.3644333537 9872 5.72190050170233 1.3313493302831
japan japansea constance lake allo D 16534.9703925591 9066 5.72190050170233 309.669173746895
japan japansea constance stream allo D 16534.9703925591 9068 5.72190050170233 312.874383317611
japan japansea cp marine allo D 12673.0633071613 9804 5.72190050170233 10.799793169396
japan japansea denmark marine allo D 12697.1909088115 8243 5.72190050170233 6.47121154776154
japan japansea geneva lake allo D 14631.2544609651 9274 5.72190050170233 276.805569090188
japan japansea geneva stream allo D 14631.2544609651 9277 5.72190050170233 257.985717905614
japan japansea joes lake allo D 8643.15476606575 6348 5.72190050170233 32.9738197627999
japan japansea joes stream allo D 8643.15476606575 6346 5.72190050170233 34.6727935777415
japan japansea litcampbell marine allo D 9147.13200517932 6704 5.72190050170233 3.72077939069441
japan japansea ln marine allo D 12609.0172879892 9792 5.72190050170233 43.5627804024789
japan japansea mh marine allo D 12726.9552765856 9833 5.72190050170233 23.2791620087163
japan japansea mh white allo D 12726.9552765856 9833 5.72190050170233 23.2791620087163
japan japansea misty lake allo D 8649.52247691238 6357 5.72190050170233 30.0015494521578
japan japansea misty stream allo D 8649.52247691238 6356 5.72190050170233 30.2022449210771
japan japansea roberts lake allo D 9325.2133681888 6482 5.72190050170233 10.2596107335627
japan japansea roberts stream allo D 9325.2133681888 6480 5.72190050170233 12.0492075753957
japan japansea sk marine allo D 12623.8079149325 9791 5.72190050170233 35.9627143348956
japan japansea sr marine allo D 12726.9552765856 9847 5.72190050170233 12.6560282118309
japan japansea sr white allo D 12726.9552765856 9847 5.72190050170233 12.6560282118309
japan marine al marine allo S 12673.0633071613 9805 5.72190050170233 19.5545455227529
